"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2019-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","142.4","L/m2"
"1","2019-03-01 00:00:00.0","PP_SUM_1.5m","Chuvia","180.8","L/m2"
"1","2019-04-01 00:00:00.0","PP_SUM_1.5m","Chuvia","266.0","L/m2"
"1","2019-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","81.6","L/m2"
"1","2019-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","123.6","L/m2"
"1","2019-07-01 00:00:00.0","PP_SUM_1.5m","Chuvia","28.8","L/m2"
"1","2019-08-01 00:00:00.0","PP_SUM_1.5m","Chuvia","97.4","L/m2"
"1","2019-09-01 00:00:00.0","PP_SUM_1.5m","Chuvia","119.2","L/m2"
"1","2019-10-01 00:00:00.0","PP_SUM_1.5m","Chuvia","341.4","L/m2"
"1","2019-11-01 00:00:00.0","PP_SUM_1.5m","Chuvia","553.6","L/m2"
"1","2019-12-01 00:00:00.0","PP_SUM_1.5m","Chuvia","474.2","L/m2"
"1","2020-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","473.0","L/m2"
"1","2020-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","163.2","L/m2"
"1","2020-03-01 00:00:00.0","PP_SUM_1.5m","Chuvia","205.0","L/m2"
"1","2020-04-01 00:00:00.0","PP_SUM_1.5m","Chuvia","261.8","L/m2"
"1","2020-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","120.0","L/m2"
"1","2020-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","72.8","L/m2"
"1","2020-07-01 00:00:00.0","PP_SUM_1.5m","Chuvia","2.0","L/m2"
"1","2020-08-01 00:00:00.0","PP_SUM_1.5m","Chuvia","194.4","L/m2"
"1","2020-09-01 00:00:00.0","PP_SUM_1.5m","Chuvia","88.2","L/m2"
"1","2020-10-01 00:00:00.0","PP_SUM_1.5m","Chuvia","311.2","L/m2"
"1","2020-11-01 00:00:00.0","PP_SUM_1.5m","Chuvia","281.0","L/m2"
"1","2020-12-01 00:00:00.0","PP_SUM_1.5m","Chuvia","539.8","L/m2"
"1","2021-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","347.8","L/m2"
"1","2021-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","472.6","L/m2"
"1","2021-03-01 00:00:00.0","PP_SUM_1.5m","Chuvia","32.8","L/m2"
"1","2021-04-01 00:00:00.0","PP_SUM_1.5m","Chuvia","90.0","L/m2"
"1","2021-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","163.6","L/m2"
"1","2021-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","122.8","L/m2"
"1","2021-07-01 00:00:00.0","PP_SUM_1.5m","Chuvia","55.6","L/m2"
"1","2021-08-01 00:00:00.0","PP_SUM_1.5m","Chuvia","18.6","L/m2"
"1","2021-09-01 00:00:00.0","PP_SUM_1.5m","Chuvia","118.6","L/m2"
"1","2021-10-01 00:00:00.0","PP_SUM_1.5m","Chuvia","265.4","L/m2"
"1","2021-11-01 00:00:00.0","PP_SUM_1.5m","Chuvia","92.8","L/m2"
"1","2021-12-01 00:00:00.0","PP_SUM_1.5m","Chuvia","358.2","L/m2"
"1","2022-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","106.8","L/m2"
"1","2022-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","102.2","L/m2"
"1","2022-03-01 00:00:00.0","PP_SUM_1.5m","Chuvia","221.6","L/m2"
"1","2022-04-01 00:00:00.0","PP_SUM_1.5m","Chuvia","155.2","L/m2"
"1","2022-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","79.4","L/m2"
"1","2022-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","103.8","L/m2"
"1","2022-07-01 00:00:00.0","PP_SUM_1.5m","Chuvia","9.8","L/m2"
"1","2022-08-01 00:00:00.0","PP_SUM_1.5m","Chuvia","28.4","L/m2"
"1","2022-09-01 00:00:00.0","PP_SUM_1.5m","Chuvia","237.4","L/m2"
"1","2022-10-01 00:00:00.0","PP_SUM_1.5m","Chuvia","579.2","L/m2"
"1","2022-11-01 00:00:00.0","PP_SUM_1.5m","Chuvia","325.8","L/m2"
"1","2022-12-01 00:00:00.0","PP_SUM_1.5m","Chuvia","612.2","L/m2"
"1","2023-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","371.0","L/m2"
"1","2023-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","20.0","L/m2"
"1","2023-03-01 00:00:00.0","PP_SUM_1.5m","Chuvia","315.8","L/m2"
"1","2023-04-01 00:00:00.0","PP_SUM_1.5m","Chuvia","140.0","L/m2"
"1","2023-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","60.8","L/m2"
"1","2023-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","197.4","L/m2"
"1","2023-07-01 00:00:00.0","PP_SUM_1.5m","Chuvia","53.0","L/m2"
"1","2023-08-01 00:00:00.0","PP_SUM_1.5m","Chuvia","50.8","L/m2"
"1","2023-09-01 00:00:00.0","PP_SUM_1.5m","Chuvia","165.4","L/m2"
"1","2023-10-01 00:00:00.0","PP_SUM_1.5m","Chuvia","580.6","L/m2"
"1","2023-11-01 00:00:00.0","PP_SUM_1.5m","Chuvia","503.0","L/m2"
"2","2023-12-01 00:00:00.0","PP_SUM_1.5m","Chuvia","319.2","L/m2"
"1","2024-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","333.6","L/m2"
"1","2024-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","110.4","L/m2"
